id,lat,long
1,33.8527100900,132.7649117000
2,33.8518692500,132.7638396000
3,33.8511570000,132.7656859000
4,33.8518000100,132.7672701000
5,33.8488223600,132.7627676000
6,33.8499699000,132.7680206000
7,33.8506524900,132.7707007000
8,33.8498709800,132.7734999000
9,33.8493169900,132.7743694000
11,33.8460622600,132.7747506000
12,33.8444299000,132.7757631000
13,33.8437373700,132.7706769000
14,33.8391962400,132.7661981000
15,33.8395425200,132.7672463000
16,33.8433218500,132.7822549000
17,33.8425303900,132.7837319000
18,33.8453796400,132.7889135000
19,33.8496137700,132.7890921000
20,33.8491389300,132.7845657000
21,33.8535707100,132.7774188000
